code,station
0,M1a
1,M1b
2,M1c
3,M1d
4,M1e
5,M1f
6,M1g
7,M1h
8,M1i
9,M1j
10,M1l
11,M1m
12,M1O
13,M1q
14,M1s
15,M1y
16,M1B
17,M1C
18,M1D
19,M1E
20,M1F
21,M1G
22,M1H
23,M1I
24,M1J
25,M1T
26,M1Y
27,M2A
28,M2B
29,M2C
30,M2E
31,M3a
32,M3b
33,M3c
34,M3d
35,M3e
36,M3g
37,M3h
38,M3i
39,M3j
40,M3k
41,M3l
42,M3m
43,M3n
44,M3o
45,M3p
46,M3q
47,M3r
48,M3s
49,M3v
50,M3w
51,M3x
52,M3y
53,M3z
54,M3A
55,M3B
56,M3C
57,M3D
58,M3G
59,M3H
60,M3I
61,M3L
62,M3N
63,M3O
64,M3P
65,M3S
66,M3W
67,M3X
68,M3Y
69,M3Z
70,M4a
71,M4b
72,M4c
73,M4d
74,M4e
75,M4f
76,M4g
77,M4h
78,M4i
79,M4j
80,M4k
81,M4l
82,M4m
83,M4n
84,M4o
85,M4A
86,M4B
87,M5a
88,M5c
89,M5d
90,M5e
91,M5f
92,M5h
93,M5i
94,M5j
95,M5k
96,M5l
97,M5m
98,M5n
99,M5o
100,M5r
101,M5s
102,M5t
103,M5u
104,M5v
105,M5x
106,M5y
107,M6c
108,M5E
109,M5G
110,M5I
111,M5J
112,M5K
113,M5L
114,M5M
115,M5N
116,M5O
117,M5P
118,M5Q
119,M5S
120,M5X
121,M5Y
122,M7i
123,M7j
124,M7n
125,M7o
126,M7p
127,M7q
128,M7r
129,M7s
130,M7t
131,M7u
132,M7I
133,M7J
134,M7N
135,M7O
136,M7P
137,M7Q
138,M7R
139,M7S
140,M7T
141,M7U
142,M7V
143,M8a
144,M8b
145,M8d
146,M8e
147,M8g
148,M8h
149,M8i
150,M8j
151,M8k
152,M8l
153,M8m
154,M8n
155,M8o
156,M8A
157,M8B
158,M8C
159,M8D
160,M8E
161,M8F
162,M8G
163,M8H
164,M8I
165,M8J
166,M8K
167,M8L
168,M8M
169,M8N
170,M8O
171,M8P
172,M8Q
173,M8R
174,M8S
175,m8D
